"SUID","_wks_percentile_bucket","_wkshell","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"3952","35","109","3.71631657","2.29E-6","0.26908364","0.0","2","7","false","O60504","131.5","2","0","0","0.69818705","false","0","O60504","8774","0.53703704"
"3953","50","168","3.60630172","6.819E-5","0.27729238","0.0","4","6","false","Q96B26","122.5","4","0","0","0.71041092","false","0","Q96B26","77002","0.26940133"
"3954","65","300","3.38934861","3.4888E-4","0.29504194","0.0","19","6","false","Q59EK9","35.47368421","19","0","0","0.73451682","false","0","Q59EK9","543750","0.06908554"
"3955","50","161","3.5963293","5.194E-5","0.2780613","0.0","3","6","false","P56945","151.0","3","0","0","0.71151897","false","0","P56945","63082","0.3440367"
"3956","40","120","3.68438362","8.21E-6","0.27141582","0.0","3","6","false","Q7Z3Y8","96.33333333","3","0","0","0.70173515","false","0","Q7Z3Y8","15168","0.35839599"
"3957","30","99","3.84489709","0.0","0.26008498","0.0","1","7","false","Q99932","196.0","1","0","0","0.68390032","false","0","Q99932","0","0.0"
"3958","30","99","3.84489709","0.0","0.26008498","0.0","1","7","false","Q16526","196.0","1","0","0","0.68390032","false","0","Q16526","0","0.0"
"3959","30","99","3.84489709","0.0","0.26008498","0.0","1","7","false","Q8WTU0","196.0","1","0","0","0.68390032","false","0","Q8WTU0","0","0.0"
"3960","55","183","3.63250583","2.46E-5","0.27529206","0.0","4","7","false","A0A140TA69","132.0","4","0","0","0.70749935","false","0","A0A140TA69","80944","0.28051392"
"3961","55","183","3.5344791","5.565E-5","0.28292712","0.0","4","7","false","Q96CA5","134.25","4","0","0","0.71839121","false","0","Q96CA5","88124","0.2665"
"3962","45","144","3.77052833","4.89E-6","0.26521482","0.0","2","7","false","Q8WY64","180.5","2","0","0","0.69216352","false","0","Q8WY64","25402","0.52639296"
"3963","55","216","3.65510291","4.729E-5","0.27359011","0.0","4","6","false","Q969G2","156.0","4","0","0","0.70498857","false","0","Q969G2","127172","0.27097902"
"3964","55","195","3.50922979","4.432E-5","0.28496282","0.0","3","7","false","P51692","203.0","3","0","0","0.72119669","false","0","P51692","96362","0.35191638"
