"SUID","_wks_percentile_bucket","_wkshell","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"364","65","211","3.51982489","3.6417E-4","0.28410504","0.0","6","6","false","Q3B820","168.83333333","6","0","0","0.68502189","false","0","Q3B820","583784","0.19224895"
"366","55","158","3.68130081","3.671E-5","0.27164311","0.0","2","6","false","Q96CN9","274.0","2","0","0","0.6648374","false","0","Q96CN9","94666","0.51315789"
"368","65","216","3.55284553","1.0067E-4","0.28146453","0.0","3","6","false","Q6A162","273.66666667","3","0","0","0.68089431","false","0","Q6A162","239630","0.35736129"
"370","50","141","3.79362101","2.257E-5","0.2636004","0.0","2","6","false","Q9BXS5","234.5","2","0","0","0.65079737","false","0","Q9BXS5","68036","0.51888889"
"372","60","195","3.66091307","1.0576E-4","0.2731559","0.0","4","6","false","Q96A72","177.75","4","0","0","0.66738587","false","0","Q96A72","256510","0.26861702"
"374","70","267","3.55547217","7.0612E-4","0.2812566","0.03296703","14","6","false","Q9H0I2","71.21428571","14","0","0","0.68056598","false","0","Q9H0I2","779114","0.08821429"
"376","50","141","3.79362101","2.257E-5","0.2636004","0.0","2","6","false","Q8TBE0","234.5","2","0","0","0.65079737","false","0","Q8TBE0","68036","0.51888889"
"378","60","185","3.69918699","9.981E-5","0.27032967","0.0952381","7","6","false","P15622","95.42857143","7","0","0","0.66260163","false","0","P15622","243972","0.16554475"
"380","55","168","3.63289556","1.2826E-4","0.27526252","0.0","4","6","false","Q8N5A5","179.25","4","0","0","0.67088806","false","0","Q8N5A5","272268","0.28293651"
"382","50","141","3.79362101","2.257E-5","0.2636004","0.0","2","6","false","P49910","234.5","2","0","0","0.65079737","false","0","P49910","68036","0.51888889"
"384","80","372","3.28755472","0.00245124","0.30417745","0.01581028","23","6","false","O00560","63.47826087","23","0","0","0.71405566","false","0","O00560","3384598","0.05038733"
"386","50","133","3.88230144","6.715E-5","0.25757917","0.0","4","6","false","Q96HA8","115.0","4","0","0","0.63971232","false","0","Q96HA8","111848","0.28148148"
"388","50","133","3.80350219","1.798E-4","0.26291558","0.0","3","6","false","Q7L5A3","166.33333333","3","0","0","0.64956223","false","0","Q7L5A3","102838","0.36497425"
"390","50","133","4.00462789","0.0","0.24971109","0.0","1","6","false","P43353","265.0","1","0","0","0.62442151","false","0","P43353","0","0.0"
"392","50","133","4.00462789","0.0","0.24971109","0.0","1","6","false","Q8TCE9","265.0","1","0","0","0.62442151","false","0","Q8TCE9","0","0.0"
"394","50","133","3.86804253","5.297E-5","0.2585287","0.0","3","6","false","A0A024RAC6","143.33333333","3","0","0","0.64149468","false","0","A0A024RAC6","70966","0.35318445"
"396","75","309","3.34308943","1.5708E-4","0.29912451","0.16666667","9","6","false","Q9UGI0","157.44444444","9","0","0","0.70711382","false","0","Q9UGI0","513182","0.13424346"
"398","75","297","3.31532208","2.4205E-4","0.30162982","0.1","5","6","false","O75604","296.0","5","0","0","0.71058474","false","0","O75604","675866","0.23688853"
"400","50","133","4.00462789","0.0","0.24971109","0.0","1","6","false","Q32MH5","265.0","1","0","0","0.62442151","false","0","Q32MH5","0","0.0"
"402","50","133","4.00462789","0.0","0.24971109","0.0","1","6","false","Q8TAP4","265.0","1","0","0","0.62442151","false","0","Q8TAP4","0","0.0"
"404","50","133","4.00462789","0.0","0.24971109","0.0","1","6","false","Q8WV60","265.0","1","0","0","0.62442151","false","0","Q8WV60","0","0.0"
"406","55","182","3.40737961","1.83E-4","0.29348065","0.11111111","9","6","false","Q12774","55.77777778","9","0","0","0.69907755","false","0","Q12774","151838","0.12720307"
