IDa	IDb
UNKNOWN	O75787
UNKNOWN	Q00765
UNKNOWN	Q5H8A4
UNKNOWN	P52569
UNKNOWN	Q15904
UNKNOWN	Q8N511
UNKNOWN	P10586
UNKNOWN	Q96NT0
P63215	P19086
P63215	P29992
P63215	P50148
P63215	Q14344
P63215	P62873
P63215	Q9HAV0
P63215	Q14315
P63215	P04899
P63215	P09471
P63215	P19087
P63215	P63092
P63215	P63096
P63215	Q13371
P50150	Q9HAV0
P50150	P63092
P50150	P04899
P50150	P08754
P50150	P63096
P50150	P50148
P50150	Q14344
P50150	Q13371
P50150	Q8NHP6
P50150	Q8N5Z5
P06899	P02679
P06899	P02675
P06899	P02671
P06899	Q86UV5
P06899	P68871
P06899	Q00987
Q9Y5U9	Q709C8
P62312	Q9Y333
P62312	Q9Y4Z0
P62312	O95777
P62312	O43395
P62312	O14744
P62312	Q9H6E5
P62312	O43172
P62312	Q9BRS2
P62312	Q15020
P62312	Q8WWY3
P62312	Q7L2J0
P62312	Q86TB9
P62312	Q9BQA1
P62312	Q9P0M2
P62312	O75554
P62312	Q9Y4Y9
P62312	P62316
P62312	P54105
P62312	Q9NQ92
P62312	O15116
P62312	Q9UK45
P62312	P62304
P62312	Q969L4
P62312	P62314
P62312	P62310
P62312	O14893
P62312	Q8NB15
Q9NWA0	Q9UNK0
Q08AG7	Q9BSJ2
Q08AG7	O95613
Q08AG7	Q96RT8
Q08AG7	Q9UGJ1
Q08AG7	P23258
Q08AG7	Q96CW5
Q08AG7	Q96RT7
Q08AG7	Q6P582
Q08AG7	Q6NZ67
Q08AG7	Q9Y5B8
Q92686	Q9BVG3
Q92686	A8K855
O60356	Q02383
O60356	P04279
Q9Y2B9	P04818
Q9Y2B9	P22612
Q9Y2B9	P22694
P60602	Q9NZ08
P02814	O75718
P02814	P06276
A8MWD9	P09234
A8MWD9	P09012
A8MWD9	P08579
A8MWD9	Q8N8D1
A8MWD9	O43395
A8MWD9	O75533
A8MWD9	Q96GM8
A8MWD9	O94906
A8MWD9	Q9UHI6
A8MWD9	O75643
A8MWD9	Q6P2Q9
A8MWD9	Q9UBB9
A8MWD9	Q9H6E5
A8MWD9	Q13435
A8MWD9	Q2TBE0
A8MWD9	O43719
A8MWD9	Q16560
A8MWD9	Q8IYT2
A8MWD9	Q9H5Z1
A8MWD9	P57678
A8MWD9	Q15029
A8MWD9	Q9Y5B6
A8MWD9	Q9BWU0
A8MWD9	Q9BZJ0
A8MWD9	Q15020
A8MWD9	Q9BUQ8
A8MWD9	Q8WWY3
A8MWD9	Q15459
A8MWD9	Q9HCS7
A8MWD9	Q9BRX9
A8MWD9	Q8WXD5
A8MWD9	Q7L2J0
A8MWD9	Q69YN2
A8MWD9	O43290
A8MWD9	Q13573
A8MWD9	Q6IEG0
A8MWD9	Q9P0M2
A8MWD9	Q96LT9
A8MWD9	Q12874
A8MWD9	Q9BRR8
A8MWD9	P62316
A8MWD9	P54105
A8MWD9	Q8WUD4
