IDa	IDb
Q96G74	Q13439
Q96G74	Q6T4R5
Q96G74	Q7Z3K3
Q96G74	Q96G74
Q96G74	Q9UBC2
Q5JTW2	Q9UJF2
Q5JTW2	O95243
Q5JTW2	Q8WYH8
Q5JTW2	Q8TEP8
Q5JTW2	Q99733
Q5JTW2	P55209
Q5JTW2	Q96RK0
Q5JTW2	Q96NB1
Q5JTW2	O95071
Q5JTW2	P08237
Q5JTW2	P84243
Q5JTW2	P09132
Q5JTW2	P32322
Q5JTW2	Q13501
Q5JTW2	Q14764
Q5JTW2	Q15149
Q5JTW2	Q15154
Q5JTW2	Q2NL82
Q5JTW2	Q5JTW2
Q5JTW2	Q5VT06
Q5JTW2	Q7Z6Z7
Q5JTW2	Q8IV48
Q5JTW2	Q969X5
Q5JTW2	Q9BR77
Q5JTW2	Q9BRK4
Q5JTW2	Q9BVG8
Q5JTW2	Q9GZR1
Q5JTW2	Q9H0U6
Q5JTW2	Q9H981
Q5JTW2	Q9H9Y2
Q5JTW2	Q9HBH0
Q5JTW2	Q9P209
Q5JTW2	Q9UPN4
Q5JTW2	Q9Y4B6
P63208	Q9UKB1
P63208	P63208
P63208	Q8N5M4
P63208	Q8TB52
P63208	Q96CD0
P63208	Q9Y3I1
P63208	Q9Y4G6
Q6P1M3	P46379
Q6P1M3	Q9C0E8
Q6P1M3	P15336
Q6P1M3	C9JHH8
Q6P1M3	Q9UIK4
Q6P1M3	Q7Z6E9
Q6P1M3	H7C0N4
Q6P1M3	Q6P1M3
Q6P1M3	O00429
Q6P1M3	O15234
Q6P1M3	O60303
Q6P1M3	O95425
Q6P1M3	P14635
Q6P1M3	P41743
Q6P1M3	P42345
Q6P1M3	P54886
Q6P1M3	P78524
Q6P1M3	Q12830
Q6P1M3	Q13233
Q6P1M3	Q14978
Q6P1M3	Q15649
Q6P1M3	Q16594
Q6P1M3	Q5T8P6
Q6P1M3	Q5VTR2
Q6P1M3	Q68DA7
Q6P1M3	Q6UN15
Q6P1M3	Q6ZUT1
Q6P1M3	Q8IXZ2
Q6P1M3	Q8IZ21
Q6P1M3	Q8IZY2
Q6P1M3	Q8TCZ2
Q6P1M3	Q8WX93
Q6P1M3	Q96BD5
